City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,lucapa,AO,65.16,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
3,kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,umm lajj,SA,84.07,clear sky,25.0213,37.2685,Moon light Furnished Units
6,rikitea,PF,76.57,clear sky,-23.1203,-134.9692,People ThankYou
10,acari,PE,73.85,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
11,bambous virieux,MU,74.21,few clouds,-20.3428,57.7575,Casa Tia Villa
13,vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
14,port lincoln,AU,72.0,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
15,ahipara,NZ,69.71,few clouds,-35.1667,173.1667,Ahipara Holiday Park
17,port alfred,ZA,68.07,overcast clouds,-33.5906,26.891,The Halyards Hotel
19,puerto ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
21,vanimo,PG,79.2,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
25,castro,BR,68.45,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
29,avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
30,palmas bellas,PA,84.11,overcast clouds,9.2319,-80.0867,Estación de Chagres
32,faanui,PF,81.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,la libertad,EC,76.66,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
37,nueva loja,EC,82.42,scattered clouds,0.0847,-76.8828,Limoncocha Great Hotel
38,chuy,UY,65.39,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
41,souillac,MU,74.35,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
43,kutum,SD,70.05,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
45,doha,QA,71.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
49,east london,ZA,68.2,scattered clouds,-33.0153,27.9116,Tu Casa
50,hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
53,pagudpud,PH,75.16,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
56,cape town,ZA,66.09,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
59,mount gambier,AU,66.11,scattered clouds,-37.8333,140.7667,The Commodore
61,diamantino,BR,77.54,heavy intensity rain,-14.4086,-56.4461,Hotel Delta
62,gizo,SB,83.88,overcast clouds,-8.103,156.8419,Imagination Island
63,pemangkat,ID,76.44,overcast clouds,1.1667,108.9667,Ramah Kost KITA
64,isla mujeres,MX,80.65,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
65,general roca,AR,84.42,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
67,kavieng,PG,83.73,light rain,-2.5744,150.7967,Nusa Island Retreat
68,chabahar,IR,73.45,clear sky,25.2919,60.643,هتل گدروشیا
69,saint george,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
70,keti bandar,PK,74.34,clear sky,24.1447,67.4497,Haji laloo memon house
73,rancho palos verdes,US,88.66,clear sky,33.7445,-118.387,Terranea Resort
74,saint-pierre,RE,76.64,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
75,san pedro,PH,78.35,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
77,guamal,CO,80.33,overcast clouds,9.1433,-74.2238,HOSTAL VILLA CASTA
79,omboue,GA,77.41,moderate rain,-1.5746,9.2618,Hotel Olako
80,narrabri,AU,71.53,moderate rain,-30.3167,149.7833,Crossroads Hotel
87,sungai padi,TH,73.13,overcast clouds,6.0851,101.8766,237บอล&บาส
88,the valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
90,new norfolk,AU,67.66,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
