City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,hermanus,ZA,2021-11-29 21:57:18,-34.4187,19.2345,61.9,76,44,9.17,scattered clouds,0.0,0
1,leningradskiy,RU,2021-11-29 21:59:27,69.3833,178.4167,-21.53,95,63,8.86,broken clouds,0.0,0
2,lucapa,AO,2021-11-29 21:59:27,-8.4192,20.7447,65.16,97,98,1.88,overcast clouds,0.0,0
3,kapaa,US,2021-11-29 21:59:28,22.0752,-159.319,84.18,67,9,7.0,clear sky,0.0,0
4,mar del plata,AR,2021-11-29 21:54:53,-38.0023,-57.5575,62.62,91,75,14.0,broken clouds,0.0,0
5,umm lajj,SA,2021-11-29 21:59:29,25.0213,37.2685,84.07,33,0,8.14,clear sky,0.0,0
6,rikitea,PF,2021-11-29 21:59:30,-23.1203,-134.9692,76.57,74,2,21.68,clear sky,0.0,0
7,maseru,LS,2021-11-29 21:59:30,-29.3167,27.4833,61.32,32,0,4.81,clear sky,0.0,0
8,ushuaia,AR,2021-11-29 21:56:53,-54.8,-68.3,44.26,61,40,21.85,scattered clouds,0.0,0
9,nizhniy kuranakh,RU,2021-11-29 21:59:31,58.8353,125.4869,-3.33,99,100,2.19,overcast clouds,0.0,0
10,acari,PE,2021-11-29 21:59:32,-15.4311,-74.6158,73.85,61,28,8.14,scattered clouds,0.0,0
11,bambous virieux,MU,2021-11-29 21:59:32,-20.3428,57.7575,74.21,83,20,4.61,few clouds,0.0,0
12,tabas,IR,2021-11-29 21:59:33,33.5959,56.9244,57.88,36,17,2.04,few clouds,0.0,0
13,vaini,TO,2021-11-29 21:59:33,-21.2,-175.2,82.56,69,20,10.36,few clouds,0.0,0
14,port lincoln,AU,2021-11-29 21:59:34,-34.7333,135.8667,72.0,46,78,9.26,broken clouds,0.0,0
15,ahipara,NZ,2021-11-29 21:59:34,-35.1667,173.1667,69.71,61,15,5.44,few clouds,0.0,0
16,cooma,AU,2021-11-29 21:59:35,-36.2333,149.1333,56.97,100,40,5.75,scattered clouds,0.0,0
17,port alfred,ZA,2021-11-29 21:59:35,-33.5906,26.891,68.07,88,89,7.54,overcast clouds,0.0,0
18,esperance,AU,2021-11-29 21:59:36,-33.8667,121.9,58.84,68,100,12.15,overcast clouds,0.0,0
